index_dec,en_char,replaced_char
1410,Gn,鉛
1427,Sy,冴
1445,On,吠
1446,Pr,延
1456,Wh,憤
1483,To,股
1486,La,尊
1510,Br,拉
1515,Li,傑
1518,Op,哀
1520,06,尖
1547,"6,",嘆
1552,Aq,戯
1554,Am,慕
1557,Ob,卑
1559,Ag,芝
1571,Ki,几
1577,Ho,隷
1582,Al,柱
1594,Gi,兼
1596,Ir,穫
1604,Ta,据
1607,Ru,弊
1620,Em,鎮
1623,Ri,喫
1626,So,堵
1627,Of,乏
1639,Ti,麺
1644,Wo,洗
1652,Ha,冊
1653,Et,逸
1662,Ov,懸
1667,Ps,垂
1669,Sm,聘
1671,Nu,頬
1673,If,夕
1680,Im,累
1681,Mi,才
1697,Tw,析
1701,np,査
543,lk,副
550,Gr,幻
582,Dr,看
1102,Gu,輸
573,rk,町
747,v.,棒
1703,wn,癖
1713,Ro,溪
1719,Cr,河
1721,lr,拶
1729,Kn,掲
1732,Fe,腐
1733,Wr,堪
1744,Bl,亀
1751,Ev,症
1758,10,圏
1762,ko,基
1772,Ms,閃
1782,Sw,惚
1783,Ax,鼓
1799,Gl,逢
1800,El,漠
1802,11,些
1805,12,賭
1811,13,箇
1814,14,拘
1818,Ka,抽
365,lx,麻
414,Or,奨
443,rb,彦
464,Va,健
522,Qu,源
561,Zo,巫
669,Ni,氷
682,xi,堅
759,Bi,烈
826,Fl,席
827,cp,肩
992,cm,旺
995,Pe,虫
1000,Sq,尾
1018,Ra,陰
1073,Ce,蛇
1130,Do,巴
1209,Ph,凱
1492,Mu,貢
1498,nk,抹
1584,Sn,区
1593,Be,昧
1602,ei,粘
1608,Du,酷
1612,n2,噂
1646,Es,炊
1651,hl,庭
1665,Je,遙
1725,Kf,剰
1740,n4,委
1747,Wy,窓
1769,cc,摂
1804,oc,募
425,nx,粥
427,lz,秀
509,Av,境
521,Ci,電
668,Og,溶
799,rr,訓
803,Po,絞
812,tc,飾
854,Um,肌
867,oa,臭
925,tm,便
998,yr,犬
1082,du,囚
1086,Jo,清
1125,Ji,詰
1189,Lu,麾
1212,ay,宣
1221,nj,楕
1222,rh,円
1329,Hu,杭
1425,yg,濡
1430,yb,愚
1435,Cu,蓄
1438,hq,桁
1453,pn,辱
1458,if,滞
1471,uc,泡
1474,Kr,干
1502,Ic,謙
1511,ij,専
1519,Hr,八
1531,gd,詮
1539,a',歓
1541,Mj,零
1555,ln,恩
1578,Ln,窟
1622,c.,逝
1624,Zu,皮
1629,af,寧
1632,ak,博
1675,Ae,春
1689,Ap,油
1693,jo,枢
1710,D.,社
1737,kh,推
1749,Ve,録
1760,F.,售
1788,Om,草
1794,Er,克
407,Q.,躍
420,vo,哉
441,Cp,井
451,A.,紀
463,Mc,島
473,t1,林
517,t2,華
657,t3,粉
735,t4,球
741,t5,毎
808,t6,矢
906,t7,符
994,t8,織
1252,t9,航
1377,o4,登
1428,o5,七
1480,o6,覗
1526,o7,測
1563,o8,潰
1599,o9,苗
1634,B.,婦
1677,n1,泉
1707,n3,酬
341,n5,照
435,n6,恵
492,n7,史
592,n8,帯
690,d1,英
726,d2,錬
880,d3,祝
911,d4,侶
978,d5,凶
988,C.,膏
989,Ai,弾
1002,Ze,猛
1022,xm,雪
1070,s.,眼
1098,"s,",駿
1141,g.,薦
1173,y.,虐
1229,ah,留
1255,.3,託
1261,cy,堕
1328,tw,赦
1384,ye,鳩
1397,n',枝
1402,hu,喰
1413,I',耳
1441,Kh,咲
1475,Uw,継
1482,mn,浮
1535,rl,企
1569,ym,覧
1579,sw,貧
1631,oh,鼻
1649,t',粋
1657,Aw,叫
1752,",a",填
1792,ml,洋
1795,",s",掌
422,sg,緑
449,wt,谷
679,h.,堡
772,lb,兆
855,dc,露
868,nh,儀
1030,sd,狭
1044,",t",忌
1088,sl,葬
1127,ek,辞
1228,'r,崖
1345,'v,挟
1359,Ou,拒
1462,My,棺
1472,u',版
1536,f',排
1567,'t,締
1616,7.,晩
1641,o.,戚
1776,"d,",麗
210,u.,超
408,Ah,撤
445,"u,",岸
691,Ug,雄
702,By,黒
1280,♀,羊
1281,♂,牛
756,Ok,板
761,Hm,吸
766,'l,灼
801,e',森
831,aa,授
961,"l,",鈍
1071,"w,",海
1092,ft,角
1119,"h,",審
1121,"n,",邸
1354,rq,展
1381,Ju,譲
1387,ks,鳴
1394,yi,枚
1401,wr,腹
1436,a.,飢
1468,eh,踏
1493,eb,往
1496,yw,幾
1516,Oh,斐
1548,dt,慮
1572,"g,",廷
1609,"o,",惜
1702,gl,医
343,Iw,購
618,"m,",波
635,Ky,恥
655,ik,繰
710,"a,",狩
878,sf,妖
887,",w",冠
933,dl,額
973,Af,職
1091,kl,描
1361,20,歯
1507,py,斥
1530,yn,怠
1656,"k,",庫
453,Ia,太
559,sr,総
658,uw,砕
719,db,狂
786,Ow,癒
822,dh,遥
833,hr,折
870,",b",災
945,dm,景
1004,ws,希
1008,nw,挑
1020,Gh,憎
1059,"f,",域
1060,wc,灰
1096,y',裂
1201,Eh,訪
1388,h',袋
1448,Tc,裁
1465,'d,章
1478,'m,洞
1505,lh,談
1514,"Y,",都
1522,uh,貨
1545,xa,献
1575,Eg,雨
1597,uk,抑
574,tn,怨
607,d',殊
666,tf,冷
709,zz,斧
742,df,割
883,gp,輪
908,"c,",純
967,Mm,漢
1034,ky,妻
1069,"I,",髪
1253,fy,如
1432,Ee,伐
1464,Us,紋
1484,Gw,斉
1661,hs,曲
459,xp,郎
809,",r",宿
818,Ih,含
823,ka,誇
836,30,編
944,hd,背
983,dw,獲
987,x.,械
1012,b.,障
1046,o',借
1072,50,底
1168,sb,預
1185,lc,厚
1204,eu,横
1242,nv,牲
1379,Gg,坊
1380,"x,",弟
1392,bb,吊
1411,uf,謝
1466,"N,",崩
1479,hh,筒
1501,yh,紙
1527,Aa,替
1558,hf,怯
1560,",o",札
1562,Yu,稼
1585,td,隣
1617,Ku,郷
1712,Ik,至
525,",y",差
600,tg,片
631,",n",練
732,wb,工
738,Ig,製
837,wl,胸
839,g',衝
900,lw,謎
962,Ei,驚
1043,Ya,禁
1048,Fu,抵
1063,tb,鳥
1093,zi,供
1488,Ol,百
617,dq,刀
643,"T,",比
678,Il,刃
723,yu,沈
736,",i",鎖
768,uu,吹
813,6.,溝
986,05,慣
1010,s',夢
1054,0.,及
1066,Iv,甦
1067,wd,巣
1075,k',十
1437,yd,納
1455,dv,歳
1491,.',隠
1508,wp,候
1546,",f",遣
1589,hw,土
247,tj,判
359,fs,封
421,ej,川
640,",g",倍
652,Ty,並
814,35,損
862,45,衣
996,hv,触
1023,Id,瞬
1039,gf,凄
1050,yy,妨
1551,tp,掘
560,'a,祭
653,ax,幅
844,5m,固
1011,sj,翼
1158,xd,賞
1220,",e",軌
1419,hc,刑
1444,dp,陛
1450,dk,庄
1495,r5,縁
1500,Uo,算
1543,ih,産
1581,'w,隙
1637,"S,",宅
417,ku,岩
1041,mc,周
1087,Mh,婚
672,2.,柄
794,"b,",距
890,wf,疲
1117,"D,",絡
1205,sq,線
1315,"R,",迂
1357,vy,責
1393,tk,奥
1403,Nn,汚
1414,",l",臣
1415,b3,央
1422,"3,",搾
1447,lg,牢
1487,ja,業
1494,mw,因
1590,Ie,融
746,"0,",怪
965,Ip,等
977,Iq,住
1049,l',抗
1081,gb,惑
1327,Uh,観
439,",m",千
894,mj,首
970,bj,骨
1156,mf,居
1233,rz,悲
1355,kc,栄
1371,rj,鍵
1385,'p,静
1564,",u",陥
467,Ur,辺
